Country,Average,STRI,CountryHere,OECD,Country_here,Grid
IDN,0.21626877784729004,0.36541882157325745,0.0,0.0,AUT,STRI2024
THA,0.21626877784729004,0.36659061908721924,0.0,0.0,AUT,STRI2024
RUS,0.21626877784729004,0.388761967420578,0.0,0.0,AUT,STRI2024
PHL,0.21626877784729004,0.44828543066978455,0.0,0.0,AUT,STRI2024
JPN,0.21626877784729004,0.11228586733341217,0.0,0.0,BEL,STRI2024
GBR,0.21626877784729004,0.12324507534503937,0.0,0.0,BEL,STRI2024
NLD,0.21626877784729004,0.1239830031991005,0.0,0.0,BEL,STRI2024
ESP,0.21626877784729004,0.12867987155914307,0.0,0.0,BEL,STRI2024
CZE,0.21626877784729004,0.13473795354366302,0.0,0.0,BEL,STRI2024
LVA,0.21626877784729004,0.14147448539733887,0.0,0.0,BEL,STRI2024
PRT,0.21626877784729004,0.14854809641838074,0.0,0.0,BEL,STRI2024
DEU,0.21626877784729004,0.15316149592399597,0.0,0.0,BEL,STRI2024
CHL,0.21626877784729004,0.15545350313186646,0.0,0.0,BEL,STRI2024
LTU,0.21626877784729004,0.15859384834766388,0.0,0.0,BEL,STRI2024
DNK,0.21626877784729004,0.15976166725158691,0.0,0.0,BEL,STRI2024
IRL,0.21626877784729004,0.16176770627498627,0.0,0.0,BEL,STRI2024
CRI,0.21626877784729004,0.1644618958234787,0.0,0.0,BEL,STRI2024
AUS,0.21626877784729004,0.16513071954250336,0.0,0.0,BEL,STRI2024
LUX,0.21626877784729004,0.16641250252723694,0.0,0.0,BEL,STRI2024
SVK,0.21626877784729004,0.17125633358955383,0.0,0.0,BEL,STRI2024
USA,0.21626877784729004,0.17250511050224304,0.0,0.0,BEL,STRI2024
EST,0.21626877784729004,0.1742456704378128,0.0,0.0,BEL,STRI2024
NZL,0.21626877784729004,0.1802259385585785,0.0,0.0,BEL,STRI2024
PER,0.21626877784729004,0.18035390973091125,0.0,0.0,BEL,STRI2024
OECD,0.21626877784729004,0.0,0.0,0.1898399442434311,BEL,STRI2024
COL,0.21626877784729004,0.1922615021467209,0.0,0.0,BEL,STRI2024
SWE,0.21626877784729004,0.20324401557445526,0.0,0.0,BEL,STRI2024
CAN,0.21626877784729004,0.20426681637763977,0.0,0.0,BEL,STRI2024
ZAF,0.21626877784729004,0.20510847866535187,0.0,0.0,BEL,STRI2024
FIN,0.21626877784729004,0.2056402564048767,0.0,0.0,BEL,STRI2024
FRA,0.21626877784729004,0.2094499170780182,0.0,0.0,BEL,STRI2024
CHE,0.21626877784729004,0.21128761768341064,0.0,0.0,BEL,STRI2024
AUT,0.21626877784729004,0.21363216638565063,0.0,0.0,BEL,STRI2024
BEL,0.21626877784729004,0.0,0.21552801132202148,0.0,BEL,STRI2024
SGP,0.21626877784729004,0.21602599322795868,0.0,0.0,BEL,STRI2024
BRA,0.21626877784729004,0.21874527633190155,0.0,0.0,BEL,STRI2024
POL,0.21626877784729004,0.22511394321918488,0.0,0.0,BEL,STRI2024
CHN,0.21626877784729004,0.22515927255153656,0.0,0.0,BEL,STRI2024
NOR,0.21626877784729004,0.22617274522781372,0.0,0.0,BEL,STRI2024
HUN,0.21626877784729004,0.22704976797103882,0.0,0.0,BEL,STRI2024
KOR,0.21626877784729004,0.22766026854515076,0.0,0.0,BEL,STRI2024
ITA,0.21626877784729004,0.22931715846061707,0.0,0.0,BEL,STRI2024
SVN,0.21626877784729004,0.23409302532672882,0.0,0.0,BEL,STRI2024
TUR,0.21626877784729004,0.23427262902259827,0.0,0.0,BEL,STRI2024
GRC,0.21626877784729004,0.23525014519691467,0.0,0.0,BEL,STRI2024
MEX,0.21626877784729004,0.23656664788722992,0.0,0.0,BEL,STRI2024
ISR,0.21626877784729004,0.2382945567369461,0.0,0.0,BEL,STRI2024
IND,0.21626877784729004,0.2898303270339966,0.0,0.0,BEL,STRI2024
MYS,0.21626877784729004,0.2932532727718353,0.0,0.0,BEL,STRI2024
KAZ,0.21626877784729004,0.3080994784832001,0.0,0.0,BEL,STRI2024
VNM,0.21626877784729004,0.3365861177444458,0.0,0.0,BEL,STRI2024
ISL,0.21626877784729004,0.3488859236240387,0.0,0.0,BEL,STRI2024
IDN,0.21626877784729004,0.36541882157325745,0.0,0.0,BEL,STRI2024
THA,0.21626877784729004,0.36659061908721924,0.0,0.0,BEL,STRI2024
RUS,0.21626877784729004,0.388761967420578,0.0,0.0,BEL,STRI2024
PHL,0.21626877784729004,0.44828543066978455,0.0,0.0,BEL,STRI2024
JPN,0.21626877784729004,0.11228586733341217,0.0,0.0,BRA,STRI2024
GBR,0.21626877784729004,0.12324507534503937,0.0,0.0,BRA,STRI2024
NLD,0.21626877784729004,0.1239830031991005,0.0,0.0,BRA,STRI2024
ESP,0.21626877784729004,0.12867987155914307,0.0,0.0,BRA,STRI2024
CZE,0.21626877784729004,0.13473795354366302,0.0,0.0,BRA,STRI2024
LVA,0.21626877784729004,0.14147448539733887,0.0,0.0,BRA,STRI2024
PRT,0.21626877784729004,0.14854809641838074,0.0,0.0,BRA,STRI2024
DEU,0.21626877784729004,0.15316149592399597,0.0,0.0,BRA,STRI2024
CHL,0.21626877784729004,0.15545350313186646,0.0,0.0,BRA,STRI2024
LTU,0.21626877784729004,0.15859384834766388,0.0,0.0,BRA,STRI2024
DNK,0.21626877784729004,0.15976166725158691,0.0,0.0,BRA,STRI2024
IRL,0.21626877784729004,0.16176770627498627,0.0,0.0,BRA,STRI2024
CRI,0.21626877784729004,0.1644618958234787,0.0,0.0,BRA,STRI2024
AUS,0.21626877784729004,0.16513071954250336,0.0,0.0,BRA,STRI2024
LUX,0.21626877784729004,0.16641250252723694,0.0,0.0,BRA,STRI2024
SVK,0.21626877784729004,0.17125633358955383,0.0,0.0,BRA,STRI2024
USA,0.21626877784729004,0.17250511050224304,0.0,0.0,BRA,STRI2024
EST,0.21626877784729004,0.1742456704378128,0.0,0.0,BRA,STRI2024
NZL,0.21626877784729004,0.1802259385585785,0.0,0.0,BRA,STRI2024
PER,0.21626877784729004,0.18035390973091125,0.0,0.0,BRA,STRI2024
OECD,0.21626877784729004,0.0,0.0,0.1898399442434311,BRA,STRI2024
COL,0.21626877784729004,0.1922615021467209,0.0,0.0,BRA,STRI2024
SWE,0.21626877784729004,0.20324401557445526,0.0,0.0,BRA,STRI2024
CAN,0.21626877784729004,0.20426681637763977,0.0,0.0,BRA,STRI2024
ZAF,0.21626877784729004,0.20510847866535187,0.0,0.0,BRA,STRI2024
FIN,0.21626877784729004,0.2056402564048767,0.0,0.0,BRA,STRI2024
FRA,0.21626877784729004,0.2094499170780182,0.0,0.0,BRA,STRI2024
CHE,0.21626877784729004,0.21128761768341064,0.0,0.0,BRA,STRI2024
AUT,0.21626877784729004,0.21363216638565063,0.0,0.0,BRA,STRI2024
BEL,0.21626877784729004,0.21552801132202148,0.0,0.0,BRA,STRI2024
SGP,0.21626877784729004,0.21602599322795868,0.0,0.0,BRA,STRI2024
BRA,0.21626877784729004,0.0,0.21874527633190155,0.0,BRA,STRI2024
POL,0.21626877784729004,0.22511394321918488,0.0,0.0,BRA,STRI2024
CHN,0.21626877784729004,0.22515927255153656,0.0,0.0,BRA,STRI2024
NOR,0.21626877784729004,0.22617274522781372,0.0,0.0,BRA,STRI2024
HUN,0.21626877784729004,0.22704976797103882,0.0,0.0,BRA,STRI2024
KOR,0.21626877784729004,0.22766026854515076,0.0,0.0,BRA,STRI2024
ITA,0.21626877784729004,0.22931715846061707,0.0,0.0,BRA,STRI2024
SVN,0.21626877784729004,0.23409302532672882,0.0,0.0,BRA,STRI2024
TUR,0.21626877784729004,0.23427262902259827,0.0,0.0,BRA,STRI2024
GRC,0.21626877784729004,0.23525014519691467,0.0,0.0,BRA,STRI2024
MEX,0.21626877784729004,0.23656664788722992,0.0,0.0,BRA,STRI2024
ISR,0.21626877784729004,0.2382945567369461,0.0,0.0,BRA,STRI2024
IND,0.21626877784729004,0.2898303270339966,0.0,0.0,BRA,STRI2024
MYS,0.21626877784729004,0.2932532727718353,0.0,0.0,BRA,STRI2024
KAZ,0.21626877784729004,0.3080994784832001,0.0,0.0,BRA,STRI2024
VNM,0.21626877784729004,0.3365861177444458,0.0,0.0,BRA,STRI2024
ISL,0.21626877784729004,0.3488859236240387,0.0,0.0,BRA,STRI2024
IDN,0.21626877784729004,0.36541882157325745,0.0,0.0,BRA,STRI2024
THA,0.21626877784729004,0.36659061908721924,0.0,0.0,BRA,STRI2024
RUS,0.21626877784729004,0.388761967420578,0.0,0.0,BRA,STRI2024
PHL,0.21626877784729004,0.44828543066978455,0.0,0.0,BRA,STRI2024
JPN,0.21626877784729004,0.11228586733341217,0.0,0.0,CAN,STRI2024
GBR,0.21626877784729004,0.12324507534503937,0.0,0.0,CAN,STRI2024
NLD,0.21626877784729004,0.1239830031991005,0.0,0.0,CAN,STRI2024
ESP,0.21626877784729004,0.12867987155914307,0.0,0.0,CAN,STRI2024
CZE,0.21626877784729004,0.13473795354366302,0.0,0.0,CAN,STRI2024
LVA,0.21626877784729004,0.14147448539733887,0.0,0.0,CAN,STRI2024
PRT,0.21626877784729004,0.14854809641838074,0.0,0.0,CAN,STRI2024
DEU,0.21626877784729004,0.15316149592399597,0.0,0.0,CAN,STRI2024
CHL,0.21626877784729004,0.15545350313186646,0.0,0.0,CAN,STRI2024
LTU,0.21626877784729004,0.15859384834766388,0.0,0.0,CAN,STRI2024
DNK,0.21626877784729004,0.15976166725158691,0.0,0.0,CAN,STRI2024
IRL,0.21626877784729004,0.16176770627498627,0.0,0.0,CAN,STRI2024
CRI,0.21626877784729004,0.1644618958234787,0.0,0.0,CAN,STRI2024
AUS,0.21626877784729004,0.16513071954250336,0.0,0.0,CAN,STRI2024
LUX,0.21626877784729004,0.16641250252723694,0.0,0.0,CAN,STRI2024
SVK,0.21626877784729004,0.17125633358955383,0.0,0.0,CAN,STRI2024
USA,0.21626877784729004,0.17250511050224304,0.0,0.0,CAN,STRI2024
EST,0.21626877784729004,0.1742456704378128,0.0,0.0,CAN,STRI2024
NZL,0.21626877784729004,0.1802259385585785,0.0,0.0,CAN,STRI2024
PER,0.21626877784729004,0.18035390973091125,0.0,0.0,CAN,STRI2024
OECD,0.21626877784729004,0.0,0.0,0.1898399442434311,CAN,STRI2024
COL,0.21626877784729004,0.1922615021467209,0.0,0.0,CAN,STRI2024
SWE,0.21626877784729004,0.20324401557445526,0.0,0.0,CAN,STRI2024
CAN,0.21626877784729004,0.0,0.20426681637763977,0.0,CAN,STRI2024
ZAF,0.21626877784729004,0.20510847866535187,0.0,0.0,CAN,STRI2024
FIN,0.21626877784729004,0.2056402564048767,0.0,0.0,CAN,STRI2024
FRA,0.21626877784729004,0.2094499170780182,0.0,0.0,CAN,STRI2024
CHE,0.21626877784729004,0.21128761768341064,0.0,0.0,CAN,STRI2024
AUT,0.21626877784729004,0.21363216638565063,0.0,0.0,CAN,STRI2024
BEL,0.21626877784729004,0.21552801132202148,0.0,0.0,CAN,STRI2024
SGP,0.21626877784729004,0.21602599322795868,0.0,0.0,CAN,STRI2024
BRA,0.21626877784729004,0.21874527633190155,0.0,0.0,CAN,STRI2024
POL,0.21626877784729004,0.22511394321918488,0.0,0.0,CAN,STRI2024
CHN,0.21626877784729004,0.22515927255153656,0.0,0.0,CAN,STRI2024
NOR,0.21626877784729004,0.22617274522781372,0.0,0.0,CAN,STRI2024
HUN,0.21626877784729004,0.22704976797103882,0.0,0.0,CAN,STRI2024
KOR,0.21626877784729004,0.22766026854515076,0.0,0.0,CAN,STRI2024
ITA,0.21626877784729004,0.22931715846061707,0.0,0.0,CAN,STRI2024
SVN,0.21626877784729004,0.23409302532672882,0.0,0.0,CAN,STRI2024
TUR,0.21626877784729004,0.23427262902259827,0.0,0.0,CAN,STRI2024
GRC,0.21626877784729004,0.23525014519691467,0.0,0.0,CAN,STRI2024
MEX,0.21626877784729004,0.23656664788722992,0.0,0.0,CAN,STRI2024
ISR,0.21626877784729004,0.2382945567369461,0.0,0.0,CAN,STRI2024
IND,0.21626877784729004,0.2898303270339966,0.0,0.0,CAN,STRI2024
MYS,0.21626877784729004,0.2932532727718353,0.0,0.0,CAN,STRI2024
KAZ,0.21626877784729004,0.3080994784832001,0.0,0.0,CAN,STRI2024
VNM,0.21626877784729004,0.3365861177444458,0.0,0.0,CAN,STRI2024
ISL,0.21626877784729004,0.3488859236240387,0.0,0.0,CAN,STRI2024
IDN,0.21626877784729004,0.36541882157325745,0.0,0.0,CAN,STRI2024
THA,0.21626877784729004,0.36659061908721924,0.0,0.0,CAN,STRI2024
RUS,0.21626877784729004,0.388761967420578,0.0,0.0,CAN,STRI2024
PHL,0.21626877784729004,0.44828543066978455,0.0,0.0,CAN,STRI2024
JPN,0.21626877784729004,0.11228586733341217,0.0,0.0,CHE,STRI2024
GBR,0.21626877784729004,0.12324507534503937,0.0,0.0,CHE,STRI2024
NLD,0.21626877784729004,0.1239830031991005,0.0,0.0,CHE,STRI2024
ESP,0.21626877784729004,0.12867987155914307,0.0,0.0,CHE,STRI2024
CZE,0.21626877784729004,0.13473795354366302,0.0,0.0,CHE,STRI2024
LVA,0.21626877784729004,0.14147448539733887,0.0,0.0,CHE,STRI2024
PRT,0.21626877784729004,0.14854809641838074,0.0,0.0,CHE,STRI2024
DEU,0.21626877784729004,0.15316149592399597,0.0,0.0,CHE,STRI2024
CHL,0.21626877784729004,0.15545350313186646,0.0,0.0,CHE,STRI2024
LTU,0.21626877784729004,0.15859384834766388,0.0,0.0,CHE,STRI2024
DNK,0.21626877784729004,0.15976166725158691,0.0,0.0,CHE,STRI2024
IRL,0.21626877784729004,0.16176770627498627,0.0,0.0,CHE,STRI2024
CRI,0.21626877784729004,0.1644618958234787,0.0,0.0,CHE,STRI2024
AUS,0.21626877784729004,0.16513071954250336,0.0,0.0,CHE,STRI2024
LUX,0.21626877784729004,0.16641250252723694,0.0,0.0,CHE,STRI2024
SVK,0.21626877784729004,0.17125633358955383,0.0,0.0,CHE,STRI2024
USA,0.21626877784729004,0.17250511050224304,0.0,0.0,CHE,STRI2024
EST,0.21626877784729004,0.1742456704378128,0.0,0.0,CHE,STRI2024
NZL,0.21626877784729004,0.1802259385585785,0.0,0.0,CHE,STRI2024
PER,0.21626877784729004,0.18035390973091125,0.0,0.0,CHE,STRI2024
OECD,0.21626877784729004,0.0,0.0,0.1898399442434311,CHE,STRI2024
COL,0.21626877784729004,0.1922615021467209,0.0,0.0,CHE,STRI2024
SWE,0.21626877784729004,0.20324401557445526,0.0,0.0,CHE,STRI2024
CAN,0.21626877784729004,0.20426681637763977,0.0,0.0,CHE,STRI2024
ZAF,0.21626877784729004,0.20510847866535187,0.0,0.0,CHE,STRI2024
FIN,0.21626877784729004,0.2056402564048767,0.0,0.0,CHE,STRI2024
FRA,0.21626877784729004,0.2094499170780182,0.0,0.0,CHE,STRI2024
CHE,0.21626877784729004,0.0,0.21128761768341064,0.0,CHE,STRI2024
AUT,0.21626877784729004,0.21363216638565063,0.0,0.0,CHE,STRI2024
BEL,0.21626877784729004,0.21552801132202148,0.0,0.0,CHE,STRI2024
SGP,0.21626877784729004,0.21602599322795868,0.0,0.0,CHE,STRI2024
BRA,0.21626877784729004,0.21874527633190155,0.0,0.0,CHE,STRI2024
POL,0.21626877784729004,0.22511394321918488,0.0,0.0,CHE,STRI2024
CHN,0.21626877784729004,0.22515927255153656,0.0,0.0,CHE,STRI2024
NOR,0.21626877784729004,0.22617274522781372,0.0,0.0,CHE,STRI2024
HUN,0.21626877784729004,0.22704976797103882,0.0,0.0,CHE,STRI2024
KOR,0.21626877784729004,0.22766026854515076,0.0,0.0,CHE,STRI2024
ITA,0.21626877784729004,0.22931715846061707,0.0,0.0,CHE,STRI2024
SVN,0.21626877784729004,0.23409302532672882,0.0,0.0,CHE,STRI2024
TUR,0.21626877784729004,0.23427262902259827,0.0,0.0,CHE,STRI2024
GRC,0.21626877784729004,0.23525014519691467,0.0,0.0,CHE,STRI2024
MEX,0.21626877784729004,0.23656664788722992,0.0,0.0,CHE,STRI2024
ISR,0.21626877784729004,0.2382945567369461,0.0,0.0,CHE,STRI2024
IND,0.21626877784729004,0.2898303270339966,0.0,0.0,CHE,STRI2024
MYS,0.21626877784729004,0.2932532727718353,0.0,0.0,CHE,STRI2024
KAZ,0.21626877784729004,0.3080994784832001,0.0,0.0,CHE,STRI2024
VNM,0.21626877784729004,0.3365861177444458,0.0,0.0,CHE,STRI2024
ISL,0.21626877784729004,0.3488859236240387,0.0,0.0,CHE,STRI2024
